choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Looking at your Facebook feed,0,54,54,55,,,,,,,,,,,,,,,,,,,,,,,,,284.4658075118814,None,$0,2.877,0.014416594899103075,None,None,284.4658075118814,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going to the movies 
by yourself",0,55,55,77,,,,,,,,,,,,,,,,,,,,,,,,,287.3836991987878,None,$0,1.913,0.021253381926726433,None,None,287.3836991987878,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Getting drinks 
with co-workers",0,56,56,44,,,,,,,,,,,,,,,,,,,,,,,,,289.3505808096593,None,$.02,3.14,0.015864070417137555,None,None,289.3505808096593,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going on a first date 
to the movies",0,57,57,20,,,,,,,,,,,,,,,,,,,,,,,,,292.5348994309311,None,$0,2.224,0.016721234689612174,None,None,292.5348994309311,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Direct messaging your crush on Snapchat,0,58,58,54,,,,,,,,,,,,,,,,,,,,,,,,,294.8021309676096,None,$.01,46.869,0.02013154174801457,None,None,294.8021309676096,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Buying coffee on 
the way to work",0,59,59,63,,,,,,,,,,,,,,,,,,,,,,,,,341.73312084616646,None,$.02,2.626,0.0274718661330553,None,None,341.73312084616646,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going to a museum 
alone",0,60,60,96,,,,,,,,,,,,,,,,,,,,,,,,,344.40059584735627,None,$.01,5.338,0.025071743965327187,None,None,344.40059584735627,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Watching videos on Youtube,0,61,61,14,,,,,,,,,,,,,,,,,,,,,,,,,349.78540755579706,None,$.01,2.899,0.02244706715191569,None,None,349.78540755579706,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Putting gas in a car,0,62,62,90,,,,,,,,,,,,,,,,,,,,,,,,,352.7362521705136,None,$.01,3.57,0.019310766524540668,None,None,352.7362521705136,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Posting Instagram stories,0,63,63,33,,,,,,,,,,,,,,,,,,,,,,,,,356.35426014686846,None,$0,2.826,0.01636947387987675,None,None,356.35426014686846,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
